crypto_id,crypto_name,last_value,last_closing_value,starting_range_value,ending_range_value,5_Day,1_Month,3_Month,1_Year,YTD
BTCLRD,Bitcoin LRD,6991047.0,6806534.0,6649978.0,6991047.0,-8.27,-25.01,-9.79,140.01,47.39
BTCLSL,Bitcoin LSL,784527.0,766305.0,748679.0,784527.0,-7.60,-19.91,23.45,188.29,84.37
BTCLTL,Bitcoin LTL,158886.0,154693.0,151135.0,158886.0,-8.17,-23.08,9.29,172.20,70.15
BTCLVL,Bitcoin LVL,32341.0,31487.0,30763.0,32341.0,-8.17,-23.08,9.29,172.20,70.15
BTCLYD,Bitcoin LYD,226464.0,220487.0,215415.0,226464.0,-8.17,-22.57,11.20,829.94,481.28
BTCMAD,Bitcoin MAD,454727.0,444452.0,434229.0,454727.0,-8.18,-22.27,12.80,179.26,76.24
BTCMDL,Bitcoin MDL,870417.0,848453.0,828938.0,870417.0,-8.44,-22.92,10.39,180.05,75.67
BTCMGA,Bitcoin MGA,195187630.0,190736473.0,186349378.0,195187630.0,-8.74,-23.17,10.48,189.40,76.17
BTCMKD,Bitcoin MKD,2683766.0,2622914.0,2562585.0,2683766.0,-8.21,-22.17,14.22,191.63,84.62
BTCMMK,Bitcoin MMK,87691281.0,85376871.0,83413133.0,87691281.0,-8.46,-23.03,18.11,267.53,128.01
BTCMNT,Bitcoin MNT,140866204.0,137148364.0,133993839.0,140866204.0,-8.06,-23.01,9.87,172.46,70.15
BTCMOP,Bitcoin MOP,395785.0,385339.0,376476.0,395785.0,-8.12,-23.06,9.58,173.73,71.15
BTCMRO,Bitcoin MRO,17594656.0,17130286.0,16736275.0,17594656.0,-8.17,-23.08,9.29,172.20,70.15
BTCMTL,Bitcoin MTL,33698.0,32808.0,32054.0,33698.0,-8.17,-23.08,9.29,172.20,70.15
BTCMUR,Bitcoin MUR,2151281.0,2094502.0,2045914.0,2151281.0,-6.78,-22.28,12.78,200.04,87.09
BTCMVR,Bitcoin MVR,761450.0,741353.0,724301.0,761450.0,-8.17,-23.08,9.29,173.09,70.70
BTCMWK,Bitcoin MWK,40142451.0,39082983.0,38184042.0,40142451.0,-8.23,-23.17,9.52,189.44,79.98
BTCMXN,Bitcoin MXN,1029322.0,1001601.0,979096.0,1029322.0,-9.83,-21.75,14.73,182.43,78.70
BTCMYR,Bitcoin MYR,207612.0,202133.0,197483.0,207612.0,-8.58,-22.20,11.30,182.36,76.95
BTCMZN,Bitcoin MZN,3148065.0,3064979.0,2994482.0,3148065.0,-8.17,-23.05,9.46,135.76,45.39
BTCNAD,Bitcoin NAD,787078.0,766305.0,748679.0,787078.0,-8.97,-19.84,16.98,188.84,84.97
BTCNGN,Bitcoin NGN,20205280.0,19672008.0,19219536.0,20205280.0,-8.18,-23.19,8.91,193.28,82.99
BTCNIO,Bitcoin NIO,1729040.0,1690237.0,1651360.0,1729040.0,-8.54,-23.38,9.21,174.18,70.94
BTCNOK,Bitcoin NOK,440660.0,429152.0,419251.0,440660.0,-10.56,-20.89,12.77,176.21,77.45
BTCNPR,Bitcoin NPR,5950847.0,5815736.0,5681969.0,5950847.0,-7.70,-22.06,12.34,178.29,75.77
BTCNZD,Bitcoin NZD,72525.0,70591.0,68947.0,72525.0,-8.77,-20.24,14.35,183.85,80.16
BTCOMR,Bitcoin OMR,18973.0,18475.0,18047.0,18973.0,-8.18,-23.09,9.27,172.19,70.15
BTCPAB,Bitcoin PAB,49285.0,47984.0,46880.0,49285.0,-8.17,-23.08,9.29,172.20,70.15
BTCPEN,Bitcoin PEN,200240.0,194791.0,190240.0,200240.0,-8.46,-22.28,8.20,207.38,90.96
BTCPGK,Bitcoin PGK,174533.0,169624.0,165722.0,174533.0,-8.01,-22.72,10.24,174.24,71.42
BTCPHP,Bitcoin PHP,2481052.0,2418442.0,2360010.0,2481052.0,-8.60,-22.27,10.17,184.80,78.40
BTCPKR,Bitcoin PKR,8721333.0,8483575.0,8288445.0,8721333.0,-7.44,-21.18,14.99,200.77,87.96
BTCPLN,Bitcoin PLN,201139.0,195830.0,191335.0,201139.0,-7.87,-22.57,15.96,202.75,85.99
BTCPYG,Bitcoin PYG,335673177.0,328052863.0,320507379.0,335673177.0,-8.31,-23.83,7.79,163.55,67.58
BTCQAR,Bitcoin QAR,179446.0,174710.0,170691.0,179446.0,-8.17,-23.08,8.02,172.15,70.13
